dataset	short_step	short_pairs	short_mean_score	short_status	long_step	long_pairs	long_mean_score	long_status	renders_dir
trex_10	1	47	0.091693	success	5	43	0.203767	success	/mnt/data2/experiments/3dgs/output_Stylized/trex_10/train/ours_31500/renders
trex_11	1	47	0.087220	success	5	43	0.184858	success	/mnt/data2/experiments/3dgs/output_Stylized/trex_11/train/ours_31500/renders
trex_12	1	47	0.091530	success	5	43	0.212665	success	/mnt/data2/experiments/3dgs/output_Stylized/trex_12/train/ours_31500/renders
trex_13	1	47	0.087454	success	5	43	0.197014	success	/mnt/data2/experiments/3dgs/output_Stylized/trex_13/train/ours_31500/renders
trex_14	1	47	0.087992	success	5	43	0.174463	success	/mnt/data2/experiments/3dgs/output_Stylized/trex_14/train/ours_31500/renders
trex_15	1	47	0.074500	success	5	43	0.176783	success	/mnt/data2/experiments/3dgs/output_Stylized/trex_15/train/ours_31500/renders
trex_16	1	47	0.086445	success	5	43	0.204578	success	/mnt/data2/experiments/3dgs/output_Stylized/trex_16/train/ours_31500/renders
trex_17	1	47	0.070400	success	5	43	0.170852	success	/mnt/data2/experiments/3dgs/output_Stylized/trex_17/train/ours_31500/renders
trex_18	1	47	0.087071	success	5	43	0.203632	success	/mnt/data2/experiments/3dgs/output_Stylized/trex_18/train/ours_31500/renders
trex_19	1	47	0.088994	success	5	43	0.198892	success	/mnt/data2/experiments/3dgs/output_Stylized/trex_19/train/ours_31500/renders
trex_20	1	47	0.094447	success	5	43	0.211739	success	/mnt/data2/experiments/3dgs/output_Stylized/trex_20/train/ours_31500/renders
trex	1	47	0.079100	success	5	43	0.184361	success	/mnt/data2/experiments/3dgs/output_Stylized/trex/train/ours_30000/renders
truck_10	1	218	0.168937	success	5	214	0.488358	success	/mnt/data2/experiments/3dgs/output_Stylized/truck_10/train/ours_31500/renders
truck_11	1	218	0.181248	success	5	214	0.503002	success	/mnt/data2/experiments/3dgs/output_Stylized/truck_11/train/ours_31500/renders
truck_12	1	218	0.181248	success	5	214	0.503002	success	/mnt/data2/experiments/3dgs/output_Stylized/truck_12/train/ours_31500/renders
truck_13	1	218	0.167421	success	5	214	0.487447	success	/mnt/data2/experiments/3dgs/output_Stylized/truck_13/train/ours_31500/renders
truck_14	1	218	0.170676	success	5	214	0.483559	success	/mnt/data2/experiments/3dgs/output_Stylized/truck_14/train/ours_31500/renders
truck_15	1	218	0.138063	success	5	214	0.409085	success	/mnt/data2/experiments/3dgs/output_Stylized/truck_15/train/ours_31500/renders
truck_16	1	218	0.175562	success	5	214	0.514547	success	/mnt/data2/experiments/3dgs/output_Stylized/truck_16/train/ours_31500/renders
truck_17	1	218	0.162859	success	5	214	0.493122	success	/mnt/data2/experiments/3dgs/output_Stylized/truck_17/train/ours_31500/renders
truck_18	1	218	0.162761	success	5	214	0.489290	success	/mnt/data2/experiments/3dgs/output_Stylized/truck_18/train/ours_31500/renders
truck_19	1	218	0.174788	success	5	214	0.506457	success	/mnt/data2/experiments/3dgs/output_Stylized/truck_19/train/ours_31500/renders
truck_20	1	218	0.169911	success	5	214	0.505866	success	/mnt/data2/experiments/3dgs/output_Stylized/truck_20/train/ours_31500/renders
truck	1	218	0.124380	success	5	214	0.424460	success	/mnt/data2/experiments/3dgs/output_Stylized/truck/train/ours_30000/renders
