dataset	short_step	short_pairs	short_mean_score	short_status	long_step	long_pairs	long_mean_score	long_status	renders_dir	message
flower_46	1	28	0.135177	success	5	24	0.249463	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_46/train/ours_31500/renders	
flower_47	1	28	0.173456	success	5	24	0.276271	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_47/train/ours_31500/renders	
flower_48	1	28	0.140461	success	5	24	0.255820	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_48/train/ours_31500/renders	
flower_49	1	28	0.134969	success	5	24	0.247285	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_49/train/ours_31500/renders	
flower_50	1	28	0.147497	success	5	24	0.257317	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_50/train/ours_31500/renders	
flower_51	1	28	0.147860	success	5	24	0.269407	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_51/train/ours_31500/renders	
flower_52	1	28	0.050858	success	5	24	0.157746	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_52/train/ours_31500/renders	
flower_53	1	28	0.156775	success	5	24	0.276034	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_53/train/ours_31500/renders	
flower_54	1	28	0.148278	success	5	24	0.257557	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_54/train/ours_31500/renders	
flower_55	1	28	0.043397	success	5	24	0.179734	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_55/train/ours_31500/renders	
flower_56	1	28	0.130571	success	5	24	0.237418	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_56/train/ours_31500/renders	
flower_57	1	28	0.154946	success	5	24	0.280396	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_57/train/ours_31500/renders	
flower_58	1	28	0.125819	success	5	24	0.240299	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_58/train/ours_31500/renders	
flower_59	1	28	0.128535	success	5	24	0.245519	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_59/train/ours_31500/renders	
flower_60	1	28	0.043972	success	5	24	0.135328	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_60/train/ours_31500/renders	
flower_61	1	28	0.146428	success	5	24	0.256457	success	/mnt/data2/experiments/3dgs/output_Stylized/flower_61/train/ours_31500/renders	
